,PCA1,PCA2,PCA3,0
0,-9.024139344720671,-4.353950819487931,5.1161415629463445,Cristiano Ronaldo
1,-8.37529243811897,-5.112992698817946,3.918435814493339,Lionel Messi
2,-8.102740468593526,-5.202968071845091,2.827557331981945,Neymar
3,-7.21529069193714,-3.561291568747809,5.991098370918346,Luis Suárez
4,8.62305348604288,-1.8469608772832031,8.473246320385288,Manuel Neuer
5,9.726473363251035,-2.043314868286208,6.99762857027215,De Gea
6,-7.4243462920706955,-2.8793029508695844,4.324203781036875,Robert Lewandowski
7,-8.565529306298707,-1.8692480460715213,3.6371324001697203,Gareth Bale
8,-7.662310803542846,-3.5388725788054365,5.666610272199176,Zlatan Ibrahimović
9,10.446608070134104,-2.0344020034988133,5.897791515970977,Thibaut Courtois
10,-4.375992447513539,4.557496813124382,3.597219150822782,Jérôme Boateng
11,-7.966718490967778,-4.626982929120981,3.0770615066445823,Eden Hazard
12,-8.248398982186137,-0.7117045226648915,4.294565549954521,Luka Modrić
13,-6.172551726222702,-4.818604804852472,3.474999297270485,Mesut Özil
14,-6.204568554365527,-3.9125116087411014,3.637545124200977,Gonzalo Higuaín
15,-6.195110590907762,3.6825828339604754,4.365277708876031,Thiago Silva
16,-6.113288374147601,3.442517442171443,3.5378050060831283,Sergio Ramos
17,-7.431013861556755,-4.982285666105866,3.7698538460894646,Sergio Agüero
18,-9.192403895481638,-0.0024852812003790317,4.153994635642892,Paul Pogba
19,-7.419793590010371,-4.230781187229295,3.548357257232437,Antoine Griezmann
20,-7.89086378172554,-2.962248470688176,4.981836830513016,Kevin De Bruyne
21,-7.7166298880532995,-3.813943406056233,3.7889047848334645,Marco Reus
22,-7.8866734374551655,-2.865996583764618,4.141724803725157,Alexis Sánchez
23,-6.726572275099292,-0.16638955998962532,5.156921512397004,Toni Kroos
24,-3.5928057386391266,5.383219287129858,3.663112334366542,Diego Godín
25,-5.083250472823339,3.5939087138221377,3.844541188696412,Mats Hummels
26,10.337126970146796,-1.8827927673086318,5.378524847142121,Hugo Lloris
27,-3.019328729731109,6.088740597848056,2.3665588244085938,Giorgio Chiellini
28,-6.776247332509134,2.313199343014575,4.1185618018212145,Philipp Lahm
29,-2.6925450831258666,5.492317473938303,3.344249165297752,Pepe
30,10.642861011069979,-1.941005260986645,7.11914513841518,Petr Čech
31,9.719721941154697,-1.5073311600708257,7.5311737077828464,Gianluigi Buffon
32,-7.478787542073243,-1.6697863074222872,3.7443670066458563,Iniesta
33,10.579983104807795,-1.5694233047058936,6.049176972318676,Jan Oblak
34,-7.320217805601349,-3.8198276568089526,3.830078879494269,James Rodríguez
35,-7.100812427880399,-3.7171117583849784,3.3447873464783338,Pierre-Emerick Aubameyang
36,-4.8757642031327775,5.0923259130760155,3.353019902088475,Leonardo Bonucci
37,-8.79107297229217,1.8321081407409812,4.890360068045261,Arturo Vidal
38,-6.848498957605878,-0.9998860437855963,3.6339732574819616,Ivan Rakitić
39,-7.344595143201956,-3.7451131421305948,3.125125502676832,David Silva
40,10.508007305388224,-1.3329826470979595,6.664377144434884,Samir Handanovič
41,-4.039725716050474,3.8443165962387,3.700077836136677,Piqué
42,-7.459551487555775,-4.77089307455303,3.454511952544052,Arjen Robben
43,-7.575227781151787,-4.793708858424377,2.614648016928768,Paulo Dybala
44,-7.131101384822744,0.8717798969593837,4.168283602051954,Marco Verratti
45,-8.046190191478978,0.7936704753841751,3.255312377123294,David Alaba
46,-7.92627261277756,-2.0988908935206902,3.4131099768783963,Henrikh Mkhitaryan
47,10.486849513846767,-1.6648459966537235,6.07354909032141,Bernd Leno
48,-7.107356936387278,-1.9539012336935309,5.752822283182694,Thomas Müller
49,-4.778577181978796,3.110946592819252,4.378522770713923,Sergio Busquets
50,-7.825902255717143,-1.6957498138048823,3.992620678225285,Thiago
51,-6.952380508566221,1.1366592178782553,2.3427607464130666,Jordi Alba
52,-7.2555240551847575,-3.8844556541023905,2.98800878228513,Coutinho
53,-7.763030651436616,-2.682290616112173,2.8378079998979278,Ángel Di María
54,-5.791167681349449,-1.8781536327945285,3.884087664418046,Diego Costa
55,-6.722280291162377,-2.0893728364942077,4.227553512341595,Edinson Cavani
56,-7.93665567529869,1.2297253430056139,4.470148553514469,Radja Nainggolan
57,-7.569895099059658,1.5698258617947844,2.973216658824205,Marcelo
58,-8.684458668791047,0.6173768715871563,4.4354863084262,Claudio Marchisio
59,-2.648033727323767,4.796209955937181,2.868820205431882,Miranda
60,-6.55117483449741,-4.605809334061536,3.481232551175515,Karim Benzema
61,-7.0872199112676535,-1.0892995659255726,4.183238539717978,Cesc Fàbregas
62,-7.2423105316438,-5.003732254214141,3.457183645883338,Franck Ribéry
63,-7.7893573647312575,-1.5984492838625215,4.278334220083031,Santi Cazorla
64,-2.7952891986727058,5.91002052947839,2.6097870375442307,Andrea Barzagli
65,-6.188160016947611,-1.888220989791072,3.6951624842718642,Harry Kane
66,-7.615730341307662,-3.267084944976104,3.025594474252247,Alexandre Lacazette
67,10.14481192631897,-1.8269086951963687,5.946285805581035,Keylor Navas
68,-5.475735797098013,-2.3820339384093745,3.046286336099036,Romelu Lukaku
69,-7.285743159658796,-3.590522171061947,3.0264708841495036,Christian Eriksen
70,-7.652906485082671,-0.8102795305800751,4.039060692780757,İlkay Gündoğan
71,-4.101341962901139,4.103507040387173,3.76730964690536,Toby Alderweireld
72,-6.685207273109108,-2.7809346938119965,2.945300949633305,Willian
73,-7.684238234225263,-0.9037871396271628,3.7875563622184387,Miralem Pjanić
