,PCA1,PCA2,PCA3,0,Cluster
0,-9.024139339692958,-4.353933127302675,5.116206515906521,Cristiano Ronaldo,4
1,-8.37529243565635,-5.112992488511698,3.917835348205535,Lionel Messi,4
2,-8.102740473252616,-5.202984532461944,2.8293902405289373,Neymar,4
3,-7.215290692243652,-3.561293683959893,5.991186275362464,Luis Suárez,4
4,8.623053487265455,-1.8469590567567629,8.47373084156225,Manuel Neuer,1
5,9.726473363707736,-2.0433141057313384,6.997995524227602,De Gea,1
6,-7.424346292427259,-2.8793032485071315,4.324336951802938,Robert Lewandowski,4
7,-8.5655293044329,-1.8692496626710409,3.6364877918143126,Gareth Bale,4
8,-7.6623108026787525,-3.5388744546048962,5.666829790563394,Zlatan Ibrahimović,4
9,10.446608070286509,-2.034401055871519,5.89813119199371,Thibaut Courtois,1
10,-4.375992445502118,4.557493297692876,3.597444959566356,Jérôme Boateng,0
11,-7.966718491748782,-4.626950737054905,3.0769576174605087,Eden Hazard,4
12,-8.248398981156091,-0.711704144446099,4.294597085358867,Luka Modrić,0
13,-6.172551721516629,-4.818595147761274,3.4758794698942292,Mesut Özil,4
14,-6.2045685545270866,-3.912512419559998,3.6376568009892547,Gonzalo Higuaín,4
15,-6.1951105935982085,3.682574910838301,4.364931724313613,Thiago Silva,0
16,-6.113288372302786,3.442514042139857,3.5381122822437425,Sergio Ramos,0
17,-7.4310138617437325,-4.982285440149786,3.7701121249357117,Sergio Agüero,4
18,-9.192403894290758,-0.00249364495182607,4.154232636862678,Paul Pogba,0
19,-7.41979358293817,-4.2307667321088465,3.5483857057250288,Antoine Griezmann,4
20,-7.890863768537702,-2.9622656187281033,4.98039566610461,Kevin De Bruyne,4
21,-7.716629885031833,-3.813950661981907,3.7899803279969984,Marco Reus,4
22,-7.886673444139961,-2.8659871321124,4.1415173166002495,Alexis Sánchez,4
23,-6.72657227403257,-0.16639223653204419,5.156489023691195,Toni Kroos,0
24,-3.592805736698959,5.383220943450419,3.6635717087378996,Diego Godín,0
25,-5.08325047103728,3.593903111126503,3.8447044365028473,Mats Hummels,0
26,10.337126969795728,-1.8827910311804594,5.37888086137213,Hugo Lloris,1
27,-3.0193287280389187,6.088746009675025,2.3672134421199655,Giorgio Chiellini,3
28,-6.776247331294492,2.313210967695712,4.117299545902452,Philipp Lahm,0
29,-2.6925450810991967,5.49231787302384,3.3446529582424533,Pepe,0
30,10.642861012283019,-1.9410062941016044,7.11940273539373,Petr Čech,1
31,9.71972194186472,-1.5073300660846944,7.531450776622285,Gianluigi Buffon,1
32,-7.478787539066993,-1.6697819586742348,3.744260466206447,Iniesta,4
33,10.579983104944306,-1.5694213188686765,6.049585247527968,Jan Oblak,1
34,-7.320217803796741,-3.8198354030720774,3.830611738491966,James Rodríguez,4
35,-7.100812428925781,-3.7170973970931347,3.345469658327914,Pierre-Emerick Aubameyang,4
36,-4.875764201158883,5.092331075608979,3.3536467597503092,Leonardo Bonucci,0
37,-8.791072976402468,1.8321040047847512,4.889609004597323,Arturo Vidal,0
38,-6.848498956038687,-0.9998812544204163,3.6334427004126484,Ivan Rakitić,0
39,-7.344595139154228,-3.745121890533922,3.125901402400354,David Silva,4
40,10.508007305729643,-1.3329815027068554,6.664681948252136,Samir Handanovič,1
41,-4.0397257142779415,3.844311063412618,3.700222878317619,Piqué,0
42,-7.459551481440247,-4.770861822995484,3.4546468658145773,Arjen Robben,4
43,-7.57522777782625,-4.793709190847506,2.614561645160033,Paulo Dybala,4
44,-7.13110138873956,0.8717748761126253,4.167722465715898,Marco Verratti,0
45,-8.04619017535542,0.7936684441202857,3.25639430067359,David Alaba,0
46,-7.926272611953397,-2.098886695783201,3.4123437769024236,Henrikh Mkhitaryan,4
47,10.486849514641062,-1.664844676681765,6.073985840406206,Bernd Leno,1
48,-7.107356912511474,-1.953768318939053,5.753290343599881,Thomas Müller,4
49,-4.77857718277066,3.110944038040414,4.378517122666718,Sergio Busquets,0
50,-7.825902243908356,-1.6957752791292713,3.9973804328942832,Thiago,4
51,-6.95238050887938,1.1366598697963488,2.342503775683216,Jordi Alba,0
52,-7.255524065286935,-3.884476765968986,2.9863358038952375,Coutinho,4
53,-7.763030654452278,-2.6822729577406075,2.8377667635929447,Ángel Di María,4
54,-5.7911676819159,-1.87815699313145,3.8840210901140915,Diego Costa,4
55,-6.722280296758222,-2.0893779346214907,4.2268971194828335,Edinson Cavani,4
56,-7.936655679737271,1.2297126498018265,4.469665694837885,Radja Nainggolan,0
57,-7.5698950984687015,1.569824955857129,2.972919157192087,Marcelo,0
58,-8.684458672453557,0.6173717592651655,4.434773170534646,Claudio Marchisio,0
59,-2.648033725490617,4.796206781558436,2.8690128749483077,Miranda,0
60,-6.551174834074551,-4.605810284186491,3.4815586346122047,Karim Benzema,4
61,-7.087219910309378,-1.0893081919571364,4.183340241827787,Cesc Fàbregas,0
62,-7.242310524445464,-5.00374240513354,3.456374975304031,Franck Ribéry,4
63,-7.78935736401834,-1.598440445629917,4.276606962070261,Santi Cazorla,4
64,-2.7952891960147683,5.91002606116502,2.610560006545506,Andrea Barzagli,3
65,-6.1881600229332125,-1.8882277404344419,3.694448749171506,Harry Kane,4
66,-7.6157303416771205,-3.2670853818180836,3.025776117658789,Alexandre Lacazette,4
67,10.14481192676584,-1.8269064920286013,5.946661587700423,Keylor Navas,1
68,-5.475735798027355,-2.3820347119667677,3.046173161418352,Romelu Lukaku,4
69,-7.285743155802094,-3.590533131768072,3.0273301592869615,Christian Eriksen,4
70,-7.652906484358611,-0.8102798850098074,4.03904215059509,İlkay Gündoğan,0
71,-4.101341961433109,4.103503984167525,3.7673650424366163,Toby Alderweireld,0
72,-6.685207272706361,-2.7809322413919673,2.9444562133623204,Willian,4
73,-7.684238233583668,-0.9037863099968187,3.7873647126673613,Miralem Pjanić,0
74,-6.379621057710891,-3.6901572373781617,3.1617137591162967,Juan Mata,4
75,-3.8751566155584225,3.9786144719477603,3.8684128425297217,Javi Martinez,0
76,-7.3204440740645005,-3.9886559617513684,3.610986066053235,Dimitri Payet,4
77,-7.154319100850965,-4.681027616103991,1.9655503817266975,Dries Mertens,4
78,-2.991149403211533,4.7464354655058045,2.199860262315579,Sokratis,0
79,-7.3509331227181685,-0.5074480553624107,3.584215833298334,Marek Hamšik,0
80,-6.491879691978902,2.767965114283756,4.161141683963161,Blaise Matuidi,0
81,10.702527175934017,-1.6004635391257096,6.10962729215181,Stéphane Ruffier,1
82,-3.1366240375218135,5.311403124455346,2.769308250374096,Laurent Koscielny,0
83,-6.420048334996392,2.0525007155758717,3.066641196761342,Filipe Luís,0
84,-3.415469642815835,4.28938947377974,3.192075435416416,Vincent Kompany,0
85,-3.0322480276228614,4.572388490715164,2.114411586105151,Aymeric Laporte,0
86,-6.565803809223021,-4.312811316067746,2.178124315523637,Yannick Carrasco,4
87,-4.658622246373088,2.9266745053777967,1.8335311894776039,Carvajal,0
88,-6.311339878633376,-4.547577654768173,2.1083486496147112,Riyad Mahrez,4
